Econòmic,Orgànic,Subprograma,Text subprograma,PREV. INICIAL,PREV.DEFINITIVA,LIQUIDAT,Any
33100,605,93219,Serveis d’ingressos,3352000,3352000,3535447.35,2013
33100,606,93219,Serveis d’ingressos,1271000,1271000,1337334.72,2013
33100,607,93219,Serveis d’ingressos,1405000,1405000,1487762.72,2013
33100,608,93219,Serveis d’ingressos,735000,735000,772368.02,2013
33100,609,93219,Serveis d’ingressos,1388000,1388000,1513989.37,2013
33100,610,93219,Serveis d’ingressos,2193000,2193000,2136770.77,2013
33200,502,93219,Serveis d’ingressos,21636322,21636322,24702105.3,2013
33300,502,93219,Serveis d’ingressos,789280,789280,1534317.1,2013
33500,601,93219,Serveis d’ingressos,647538,647538,793766.16,2013
33500,602,93219,Serveis d’ingressos,1612000,1612000,2144481.89,2013
33500,603,93219,Serveis d’ingressos,142000,142000,302609.68,2013
33500,604,93219,Serveis d’ingressos,142000,142000,211442.89,2013
33500,605,93219,Serveis d’ingressos,368000,368000,369621.88,2013
33500,606,93219,Serveis d’ingressos,138000,138000,174071.34,2013
33500,607,93219,Serveis d’ingressos,59000,59000,92341.67,2013
33500,608,93219,Serveis d’ingressos,127000,127000,139728.58,2013
33500,609,93219,Serveis d’ingressos,117000,117000,212136.8,2013
33500,610,93219,Serveis d’ingressos,499000,499000,557485.21,2013
33501,101,93219,Serveis d’ingressos,1006684,1006684,1020922.19,2013
33502,401,93219,Serveis d’ingressos,95837,95837,280135,2013
33502,601,93219,Serveis d’ingressos,303000,303000,939732.66,2013
33502,602,93219,Serveis d’ingressos,377000,377000,449275.45,2013
33502,603,93219,Serveis d’ingressos,83000,83000,320298.99,2013
33502,604,93219,Serveis d’ingressos,403000,403000,271939.41,2013
33502,605,93219,Serveis d’ingressos,119000,119000,67327.36,2013
33502,606,93219,Serveis d’ingressos,69000,69000,86427.92,2013
33502,607,93219,Serveis d’ingressos,46000,46000,39024.01,2013
33502,608,93219,Serveis d’ingressos,69000,69000,186352.98,2013
33502,609,93219,Serveis d’ingressos,92000,92000,94770.46,2013
33502,610,93219,Serveis d’ingressos,469000,469000,214191.39,2013
33800,502,93219,Serveis d’ingressos,7069302,7069302,7023815.1,2013
33900,502,93219,Serveis d’ingressos,50,50,271.16,2013
33901,502,93219,Serveis d’ingressos,20,20,80315.22,2013
33902,502,93219,Serveis d’ingressos,10,10,161628.3,2013
33903,703,93219,Serveis d’ingressos,0,0,30070.5,2013
34100,201,93219,Serveis d’ingressos,1823627,1823627,2218228.05,2013
34101,201,93219,Serveis d’ingressos,10,10,0,2013
34102,201,93219,Serveis d’ingressos,10,10,0,2013
34104,201,93219,Serveis d’ingressos,0,0,1560.45,2013
34300,601,93219,Serveis d’ingressos,10,10,0,2013
34300,602,93219,Serveis d’ingressos,10,10,0,2013
34300,603,93219,Serveis d’ingressos,10,10,0,2013
34300,604,93219,Serveis d’ingressos,10,10,2204.9,2013
34300,606,93219,Serveis d’ingressos,10,10,0,2013
34300,607,93219,Serveis d’ingressos,10,10,0,2013
34300,608,93219,Serveis d’ingressos,10,10,0,2013
34300,609,93219,Serveis d’ingressos,10,10,0,2013
34300,610,93219,Serveis d’ingressos,10,10,0,2013
34400,201,93219,Serveis d’ingressos,0,0,7578.93,2013
34400,601,93219,Serveis d’ingressos,10,10,0,2013
34400,602,93219,Serveis d’ingressos,10,10,0,2013
34400,603,93219,Serveis d’ingressos,10,10,5586.33,2013
34400,604,93219,Serveis d’ingressos,10,10,220.1,2013
