Econòmic,Orgànic,Subprograma,Text subprograma,PREV. INICIAL,PREV.DEFINITIVA,LIQUIDAT,Any
10000,703,93219,Serveis d’ingressos,50039245.31,50039245.31,48358242.99,2014
11301,703,93219,Serveis d’ingressos,584644000,584644000,616289944.93,2014
11401,703,93219,Serveis d’ingressos,7185000,7185000,9725265.85,2014
11500,703,93219,Serveis d’ingressos,58620000,58620000,62486747.73,2014
11600,703,93219,Serveis d’ingressos,87647000,87647000,145779450.91,2014
13000,703,93219,Serveis d’ingressos,82228000,82228000,81910561.29,2014
13001,703,93219,Serveis d’ingressos,10,10,9343.5,2014
13004,703,93219,Serveis d’ingressos,9104000,9104000,10936432.29,2014
18000,703,93219,Serveis d’ingressos,10,10,-14.77,2014
21000,703,93219,Serveis d’ingressos,27503463.33,27503463.33,26697597.26,2014
22000,703,93219,Serveis d’ingressos,91567.8,91567.8,369786.55,2014
22001,703,93219,Serveis d’ingressos,383709.83,383709.83,133532.5,2014
22003,703,93219,Serveis d’ingressos,3215715.02,3215715.02,3305860.99,2014
22004,703,93219,Serveis d’ingressos,3060738.27,3060738.27,3431295.27,2014
22006,703,93219,Serveis d’ingressos,8127.76,8127.76,8976.69,2014
29000,501,93219,Serveis d’ingressos,6000000,6000000,5241167.51,2014
29000,502,93219,Serveis d’ingressos,5000,5000,13002.63,2014
29000,601,93219,Serveis d’ingressos,600000,600000,1990742.65,2014
29000,602,93219,Serveis d’ingressos,2500000,2500000,5743033.62,2014
29000,603,93219,Serveis d’ingressos,1200000,1200000,1492880.46,2014
29000,604,93219,Serveis d’ingressos,400000,400000,904632.19,2014
29000,605,93219,Serveis d’ingressos,1200000,1200000,1857874.37,2014
29000,606,93219,Serveis d’ingressos,600000,600000,835137.92,2014
29000,607,93219,Serveis d’ingressos,400000,400000,550361.31,2014
29000,608,93219,Serveis d’ingressos,295000,295000,293725.66,2014
29000,609,93219,Serveis d’ingressos,500000,500000,588693.44,2014
29000,610,93219,Serveis d’ingressos,1200000,1200000,2449919.9,2014
29000,703,93219,Serveis d’ingressos,0,0,78409.04,2014
30100,502,16011,Sanejament xarxa de clavegueram,0,0,14565730.96,2014
30100,502,93219,Serveis d’ingressos,15851000,15851000,0,2014
30901,502,93219,Serveis d’ingressos,334000,334000,339.29,2014
30902,401,93219,Serveis d’ingressos,211000,211000,114263.17,2014
30903,703,93219,Serveis d’ingressos,12036010,12036010,11948449.83,2014
30904,401,93219,Serveis d’ingressos,0,0,343385.47,2014
32100,501,93219,Serveis d’ingressos,2894000,2894000,5501914.27,2014
32100,502,93219,Serveis d’ingressos,50000,50000,49541.72,2014
32100,601,93219,Serveis d’ingressos,18000,18000,5925.47,2014
32100,602,93219,Serveis d’ingressos,45000,45000,16729.65,2014
32100,603,93219,Serveis d’ingressos,42000,42000,14561.65,2014
32100,604,93219,Serveis d’ingressos,16000,16000,3765.58,2014
32100,605,93219,Serveis d’ingressos,10000,10000,5619.83,2014
32100,606,93219,Serveis d’ingressos,17000,17000,1202.64,2014
32100,607,93219,Serveis d’ingressos,22000,22000,7496.86,2014
32100,608,93219,Serveis d’ingressos,16000,16000,4471.46,2014
32100,609,93219,Serveis d’ingressos,35000,35000,28196.14,2014
32100,610,93219,Serveis d’ingressos,100000,100000,42202.45,2014
32101,601,93219,Serveis d’ingressos,150000,150000,177757.4,2014
32101,602,93219,Serveis d’ingressos,550000,550000,642115.19,2014
32101,603,93219,Serveis d’ingressos,180000,180000,235394.33,2014
32101,604,93219,Serveis d’ingressos,100000,100000,106202.66,2014
32101,605,93219,Serveis d’ingressos,175000,175000,157688.88,2014
32101,606,93219,Serveis d’ingressos,150000,150000,197770.7,2014
32101,607,93219,Serveis d’ingressos,80000,80000,98697.68,2014
32101,608,93219,Serveis d’ingressos,60000,60000,69284.49,2014
32101,609,93219,Serveis d’ingressos,95000,95000,101598.77,2014
32101,610,93219,Serveis d’ingressos,190000,190000,271058.48,2014
32300,601,93219,Serveis d’ingressos,10,10,0,2014
32300,602,93219,Serveis d’ingressos,10,10,0,2014
32300,603,93219,Serveis d’ingressos,10,10,0,2014
32300,604,93219,Serveis d’ingressos,10,10,0,2014
32300,605,93219,Serveis d’ingressos,10,10,0,2014
32300,606,93219,Serveis d’ingressos,10,10,0,2014
32300,607,93219,Serveis d’ingressos,10,10,90.89,2014
32300,608,93219,Serveis d’ingressos,10,10,0,2014
32300,609,93219,Serveis d’ingressos,10,10,0,2014
32300,610,93219,Serveis d’ingressos,10,10,0,2014
32301,501,93219,Serveis d’ingressos,10000,10000,7709.4,2014
32301,601,93219,Serveis d’ingressos,26450,26450,7510.07,2014
32301,602,93219,Serveis d’ingressos,3450,3450,7994.07,2014
32301,603,93219,Serveis d’ingressos,18400,18400,3780.32,2014
32301,604,93219,Serveis d’ingressos,345,345,1430.48,2014
32301,605,93219,Serveis d’ingressos,10,10,4222.03,2014
32301,606,93219,Serveis d’ingressos,10,10,3715.12,2014
32301,607,93219,Serveis d’ingressos,10,10,2746.65,2014
32301,608,93219,Serveis d’ingressos,3450,3450,1514.2,2014
32301,609,93219,Serveis d’ingressos,10,10,1752.69,2014
32301,610,93219,Serveis d’ingressos,10,10,5939.65,2014
32500,101,93219,Serveis d’ingressos,55000,55000,60134.22,2014
32500,201,93219,Serveis d’ingressos,10,10,165,2014
32500,401,93219,Serveis d’ingressos,415000,415000,167263.72,2014
32500,501,93219,Serveis d’ingressos,10000,10000,982.81,2014
32500,502,93219,Serveis d’ingressos,0,0,5259.08,2014
32500,601,93219,Serveis d’ingressos,4600,4600,5175.58,2014
32500,602,93219,Serveis d’ingressos,8050,8050,7549.58,2014
32500,603,93219,Serveis d’ingressos,2300,2300,1421.9,2014
32500,604,93219,Serveis d’ingressos,1725,1725,1157.66,2014
32500,605,93219,Serveis d’ingressos,1380,1380,2022.53,2014
